Date,Open,High,Low,Close,Adj Close,Volume
6/28/2021,59.384998,60.939999,59.369999,60.834999,60.520889,44393800
6/29/2021,60.779999,61.540001,60.334999,61.52,61.202354,37280000
6/30/2021,61.445,61.650002,60.924999,61.25,60.933746,40273400
7/1/2021,61.040001,61.57,60.325001,61.279999,60.963593,41917400
7/2/2021,62.32,63.575001,62.189999,63.360001,63.032852,46751000
7/6/2021,63.724998,64.379997,62.25,64.209999,63.878464,54799800
7/7/2021,65.449997,65.610001,63.549999,64.620003,64.286346,57637800
7/8/2021,61.845001,63.93,61.119999,63.5,63.172131,76262200
7/9/2021,63.139999,64.900002,62.814999,64.574997,64.241577,46437800
7/12/2021,65.400002,65.644997,64.529999,65.385002,65.047401,43563000
7/13/2021,65.190002,67.035004,64.904999,65.349998,65.012573,59725000
7/14/2021,66.68,67.040001,65.275002,65.705002,65.365746,68021400
7/15/2021,65.705002,65.790001,63.23,64.345001,64.012772,68596400
7/16/2021,64.830002,65.355003,62.584999,62.764999,62.440926,63701400
7/19/2021,60.904999,61.5,59.834999,61.259998,60.943695,101143200
7/20/2021,61.720001,64.150002,60.775002,63.279999,62.953266,60772400
7/21/2021,63.154999,64.794998,63,64.724998,64.3908,40881600
7/22/2021,64.925003,66.099998,64.919998,66.084999,65.743782,47478800
7/23/2021,66.849998,68.555,66.144997,68.279999,67.927444,51949200
7/26/2021,68.010002,68.785004,67.519997,68.565002,68.210983,42988800
7/27/2021,68.415001,68.415001,63.915001,66.324997,65.982544,89391000
7/28/2021,66.93,67.93,65.635002,67.050003,66.703804,71970200
7/29/2021,66.739998,68.059998,66.735001,67.379997,67.032097,44319200
7/30/2021,65.175003,66.675003,65.135002,66.370003,66.027313,56559400
8/2/2021,67.269997,67.595001,66.010002,66.349998,66.007416,54560000
8/3/2021,66.720001,67.599998,64.925003,67.504997,67.156448,63417800
8/4/2021,67.544998,68.379997,66.900002,67.839996,67.489716,48428400
8/5/2021,68.279999,69.239998,67.900002,69.114998,68.758133,38670200
8/6/2021,68.394997,68.964996,67.580002,68.214996,67.862778,43153000
8/9/2021,68.455002,68.889999,67.839996,68.580002,68.225899,34210800
8/10/2021,68.885002,69.055,66.860001,67.555,67.206192,53081200
8/11/2021,68.25,68.525002,66.419998,67.190002,66.843079,46594000
8/12/2021,66.904999,68.099998,66.120003,67.889999,67.539459,39745400
8/13/2021,68.089996,68.805,67.815002,68.57,68.21595,36644800
8/16/2021,67.970001,68.714996,65.75,68.690002,68.335335,61229200
8/17/2021,67.105003,67.675003,65.485001,66.885002,66.539658,83197600
8/18/2021,66.550003,67.360001,64.754997,64.940002,64.604698,65042400
8/19/2021,63.869999,66.800003,63.724998,65.864998,65.524918,81623800
8/20/2021,66.474998,68.135002,66.290001,67.900002,67.549416,62541200
8/23/2021,68.514999,71.349998,68.5,70.925003,70.558792,48266200
8/24/2021,71.305,71.970001,71.035004,71.625,71.25518,36343400
8/25/2021,71.745003,72.199997,71.315002,71.705002,71.33477,38063600
8/26/2021,71.334999,71.754997,70.220001,70.489998,70.126038,53502400
8/27/2021,70.845001,72.800003,70.57,72.550003,72.175407,46160000
8/30/2021,73,75.260002,72.974998,74.955002,74.567986,45635200
8/31/2021,75.110001,75.150002,73.845001,74.745003,74.35907,45898000
9/1/2021,75.415001,76.410004,75.035004,75.154999,74.766953,47784000
9/2/2021,75.974998,76.169998,74.300003,75.050003,74.662498,47519200
9/3/2021,74.349998,75.970001,74.330002,75.724998,75.334007,46600600
9/7/2021,75.775002,76.440002,75.080002,76.035004,75.64241,45185400
9/8/2021,75.904999,75.925003,73.855003,75.254997,74.866432,63423000
9/9/2021,75.364998,76.050003,74.294998,74.449997,74.06559,55286800
9/10/2021,75.5,75.925003,72.555,72.775002,72.399239,69217800
9/13/2021,74.144997,74.389999,71.379997,72.610001,72.235092,77774600
9/14/2021,73.474998,73.93,71.410004,71.985001,71.613319,59629200
9/15/2021,72.245003,73.779999,70.879997,73.580002,73.200089,55892600
9/16/2021,72.775002,74.065002,71.620003,73.724998,73.34433,52615400
9/17/2021,73.449997,73.464996,70.480003,71.120003,70.752785,77325200
9/20/2021,67.709999,68.730003,64,66.745003,66.400375,121913600
9/21/2021,67.690002,68.375,66.294998,66.830002,66.48494,71700600
9/22/2021,67.43,69.614998,66.805,68.785004,68.429848,87669400
9/23/2021,69.455002,71.285004,69.084999,70.695,70.329979,69369600
9/24/2021,69.360001,71.125,69.150002,70.894997,70.528946,54775200
9/27/2021,69.105003,69.699997,67.699997,69.184998,68.827774,78355400
9/28/2021,66.57,66.945,63.035,63.415001,63.08757,148823000
9/29/2021,63.98,65.144997,62.650002,62.994999,62.669735,97530600
